protocol,category,network
orderly_bridge,bridge,abstract
stargate_v2,cross_chain_bridge,abstract
symbiosis,cross_chain_bridge,abstract
logx_v2,derivatives,abstract
vertex_perps,derivatives,abstract
mondrian_swap,dexs,abstract
noxa,dexs,abstract
reservoir_tools_amm,dexs,abstract
reservoir_tools_clmm,dexs,abstract
witty,gaming,abstract
zoo_fun,launchpad,abstract
zerolend_lending,lending,abstract
sablier_flow,payments,abstract
sablier_lockup,payments,abstract
gacha,prediction_market,abstract
myriad_markets,prediction_market,abstract
portal,bridge,acala
acala_dollar,cdp,acala
gate,cex,acala
acala_swap,dexs,acala
starlay_finance,lending,acala
acala_lcdot,liquid_staking,acala
acala_liquid_staking,liquid_staking,acala
taiga_acala,synthetics,acala
acala_euphrates,yield,acala
awaken_swap,dexs,aelf
superhero_dex,dexs,aeternity
axelar,bridge,agoric
inter_protocol,cdp,agoric
gate,cex,agoric
bitfi_btc,anchor_btc,ailayer
desyn_basis_trading,basis_trading,ailayer
gate,cex,ailayer
ainn_swap,dexs,ailayer
desyn_safe,farm,ailayer
pell_network,restaking,ailayer
desyn_liquid_strategy,yield_aggregator,ailayer
gate,cex,airdao
airdao_hera_pool,chain,airdao
astra,dexs,airdao
firepotswap,dexs,airdao
harbor_liquid_staking,liquid_staking,airdao
kosmos,yield,airdao
common,privacy,aleph_zero_evm
alephium_bridge,bridge,alephium
alphbanx,cdp,alephium
gate,cex,alephium
ayin,dexs,alephium
elexium,dexs,alephium
nightshade_finance,dexs,alephium
phoenix_ergo,farm,alephium
alphpad,launchpad,alephium
algomint,algo_stables,algorand
equito_finance,bridge,algorand
glitter_finance,bridge,algorand
pnetwork,bridge,algorand
portal,bridge,algorand
compx_cdp,cdp,algorand
gard,cdp,algorand
xbacked,cdp,algorand
binance_cex,cex,algorand
bitfinex,cex,algorand
bitkub,cex,algorand
bitlo,cex,algorand
bitstamp,cex,algorand
blofin,cex,algorand
flipster,cex,algorand
gate,cex,algorand
htx,cex,algorand
indodax,cex,algorand
kucoin,cex,algorand
latoken,cex,algorand
nonkyc,cex,algorand
swissborg,cex,algorand
c3_exchange,cross_chain_bridge,algorand
messina_bridge,cross_chain_bridge,algorand
deridex,derivatives,algorand
deflex,dex_aggregator,algorand
algodex,dexs,algorand
algofi_swap,dexs,algorand
humble_defi,dexs,algorand
pact,dexs,algorand
tinyman,dexs,algorand
opulous,farm,algorand
vestige,launchpad,algorand
algofi_lend,lending,algorand
folks_finance_lending,lending,algorand
ultraswap,lending,algorand
galgo_liquid_governance,liquid_staking,algorand
messina_liquid_staking,liquid_staking,algorand
myth_finance_dualstake,liquid_staking,algorand
xalgo_liquid_staking,liquid_staking,algorand
algorai_finance,options_vault,algorand
silo_protocol,options_vault,algorand
compx_streaming,payments,algorand
alpha_arcade,prediction_market,algorand
asa_gold,rwa,algorand
lofty,rwa,algorand
meld_gold,rwa,algorand
vesta_equity,rwa,algorand
reti_pooling,staking_pool,algorand
cometa,yield,algorand
compx_yield,yield,algorand
yieldly,yield,algorand
tardly,yield_lottery,algorand
alvey_dex,dexs,alv
ampleswap,dexs,alv
meson,cross_chain_bridge,ancient8
ancient8_swap,dexs,ancient8
baryon_network,dexs,ancient8
liquidops,lending,ao
gate,cex,apechain
gains_network,derivatives,apechain
logx_v2,derivatives,apechain
camelot_v2,dexs,apechain
camelot_v3,dexs,apechain
saru,dexs,apechain
vapordex_v1,dexs,apechain
vapordex_v2,dexs,apechain
ape_express,launchpad,apechain
